ID,Sex,Age_mean,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,L1,L2,L3,L4,L5,Sum_Verts
korea110,F,32.5,35.64,13.27,12.88,12.22,12.41,13.79,16.12,17.26,17.07,17.45,17.96,18.9,19.35,19.35,20.2,20.64,22.1,22.91,23.92,26.1,26.17,27.44,28.11,461.26
korea111,F,40,36.06,10.92,11.17,10.04,11.77,13.67,15.81,16.35,16.14,16.16,17.61,18.47,18.8,20.08,20.22,20.83,21.54,23.54,25.42,25.14,25.51,25.48,24.44,445.17
korea112,F,40,33.85,12.96,11.74,12.22,12.25,14.04,16,18.01,17.46,18.06,17.9,18.91,19.61,19.02,19.82,20.69,22.75,24.19,25.76,26.62,26.46,27.84,26.7,462.86
korea113,F,40,35.98,12.38,11.73,11.33,12.24,13.93,16.22,18.02,17.35,17.36,17.87,17.8,18.97,19.8,19.81,20.14,21.69,23.77,24.83,25.5,26.78,26.68,26.79,456.97
korea114,F,55,34.25,13.12,12.4,13.65,13.11,14.81,17,18.2,18.47,19.03,18.8,19.5,19.66,21.09,20.28,21.22,21.49,22.97,24.35,25.71,26.43,26.41,26.07,468.02
korea115,M,35,36.51,14.96,12.6,12.17,12.39,14.81,16.87,18.38,18.04,17.7,19.46,19.93,19.83,19.86,20.65,21.73,21.97,22.73,23.46,24.55,25.96,25.86,25.43,465.85
korea116,F,50,35.11,11.75,11.62,11,11.74,12.82,15.27,15.45,15.32,16.44,16.68,16,15.68,16.08,17.68,17.6,18.16,20.2,20.38,20.8,23.67,22.9,22.08,404.43
korea117,F,23.5,37.91,13.85,11.98,13.04,13.59,14.94,16.04,17.74,16.91,17.5,17.02,18.27,18.4,18.66,19.74,20.12,21.07,22.52,24.03,25.37,26.97,27.38,27.97,461.02
korea118,F,35,34.29,11.25,11.13,10.75,10.92,12.64,14.59,15.39,16.07,16.06,16.86,18.18,17.87,19.08,19.56,20.64,21.15,23.45,24.86,24.83,25.84,26.52,24.23,436.16
korea119,M,35,41.57,15.21,14.78,14.83,14.32,15.39,18.2,19.59,18.46,18.95,20.23,21.19,21.26,21.41,22.19,22.13,23.62,25.69,25.89,26.56,27.51,27.27,26.6,502.85
